CommentOwnerId,PostOwnerId,Weight
7848,13562,1
13562,13562,3
10663,13508,1
13508,13508,2
23129,13574,1
7848,6514,1
13596,13596,2
13596,12876,1
12377,7969,3
13596,12473,1
13348,13348,5
836,13625,1
3044,3044,6
59101,13348,1
12798,12798,2
12527,2452,1
13348,12363,2
8630,10620,1
13719,4978,1
13735,NULL,2
836,12384,1
12473,3024,1
9131,9131,1
13285,12611,1
13818,13818,1
54832,13818,1
924,12533,1
0,12533,2
26219,12533,1
14688,12533,1
13834,12898,1
0,2723,2
8237,2723,2
381,13155,1
0,13770,1
11097,5091,6
13285,10549,1
13132,12626,1
12626,12626,2
3024,12626,1
13884,12473,1
11136,13881,1
13881,13881,1
13023,13881,1
13881,13896,1
13896,13896,1
12473,13915,1
12473,10427,1
13285,13943,1
9123,13943,1
13943,13943,1
13562,12473,5
13296,13296,1
12603,12603,3
924,12603,1
8878,13978,1
13978,13978,1
12603,924,2
8820,843,4
14031,3459,1
2723,413,1
12603,9966,1
12473,10683,1
11097,14030,1
14030,14030,1
12909,14044,1
14044,14044,1
11097,1279,1
1151,14059,1
14059,14059,1
10663,10663,1
13481,11097,1
836,836,349
12473,7999,1
21,7999,1
6403,6403,7
13680,13680,1
13562,NULL,1
11097,12473,2
12867,12867,14
14167,14167,3
13680,14175,1
13917,12469,1
12469,12469,1
13917,12473,1
14200,9420,2
10814,13498,1
0,13596,1
8842,8842,1
15584,8842,1
13132,14218,2
14218,14218,1
12473,11097,1
14177,14177,1
12363,11097,1
11097,14267,2
14267,14267,2
11097,924,1
11097,4619,1
4619,4619,4
0,4619,2
0,11097,1
0,14294,1
12473,14294,2
14294,14294,3
12473,13593,1
7848,13593,1
14327,13320,1
11097,14327,1
13296,7923,1
14328,14327,1
14327,14327,1
21,14327,1
924,11097,1
1151,14320,1
14320,14320,1
14332,14332,3
0,14332,1
11097,14332,1
14332,98096,1
14332,11097,1
14357,924,2
836,9123,6
9123,9123,40
381,9123,1
13285,14368,2
14368,14368,1
12473,10265,1
11097,14397,1
14397,14397,1
9420,14392,1
924,14392,1
14391,21,1
8820,8820,92
13833,5091,1
14427,14427,1
14445,14445,2
13285,14445,1
381,14445,2
12963,NULL,1
141,10094,1
11097,14384,1
39026,14384,1
14009,836,1
14353,12785,1
16853,12785,1
14504,201,1
8820,3169,1
14596,14596,1
14427,12490,1
12473,NULL,2
14647,NULL,1
11097,NULL,2
8820,836,5
14644,14636,1
13413,14427,1
3457,14694,1
14694,14694,1
5279,14586,1
3151,924,1
836,13100,4
13100,13100,12
6529,13100,1
14729,14729,1
12473,14740,3
14740,14740,3
21,14636,1
14636,14636,3
14758,14758,1
13727,13727,53
14681,14681,1
13736,12473,2
14800,14800,2
14604,12490,2
12490,12490,5
816,1093,1
12363,7848,1
10462,9420,1
14582,9420,1
11116,2961,1
11097,14925,1
14925,14925,1
14933,14926,3
8041,14909,1
14909,14909,19
9420,14989,3
14989,14989,1
40535,14989,1
14994,14999,1
15002,15002,1
381,15024,2
8820,15024,1
18544,15024,1
14994,14946,1
14994,14994,8
14047,14047,1
471,15024,1
13023,15024,1
5303,5303,4
15157,15157,2
15182,15182,1
14946,14946,5
12909,9420,1
15128,15128,1
9420,982,1
14604,14604,1
381,10793,1
13285,15253,1
15253,15253,3
6529,15253,1
6529,15258,1
15258,15258,2
14904,6550,1
15281,15281,1
471,14946,1
2573,2573,9
9420,108,1
14789,108,1
11097,15300,3
15300,15300,1
15115,15115,2
8820,15315,1
15315,15315,2
11097,2932,1
14789,9420,1
924,14560,1
14560,14560,18
15373,15373,1
13953,924,1
8820,15412,2
381,8820,12
39841,8820,1
8999,8999,1
11097,15533,1
15148,15543,2
15543,15543,4
13384,15543,4
381,13165,3
13165,13165,3
15595,15595,1
12575,12575,6
13285,15617,1
471,15617,1
381,15617,1
2576,15620,1
15617,9974,2
1426,15656,3
15656,15656,4
15735,15735,3
8820,9472,1
15768,15768,1
13165,381,3
11097,14644,1
1244,14644,1
13034,15527,1
15790,8412,1
8412,8412,1
3167,3167,5
676,3167,1
381,15847,1
15847,15847,2
15878,14463,1
15879,15879,2
14684,14684,3
15908,13123,1
38874,8820,1
15946,13727,1
13046,11097,1
14913,13046,1
13046,13046,1
10240,10240,1
16024,16024,29
381,16024,4
16032,16032,1
16041,16032,1
13727,16046,2
16046,16046,1
75,16048,1
16042,16042,4
836,16042,1
13291,13291,2
13046,14913,3
14913,14913,14
15609,15609,1
16124,16124,1
15906,15906,1
13915,924,3
11097,16179,1
0,16179,1
16179,11097,2
15202,15202,6
0,16251,2
16251,16251,4
16280,16279,2
16279,16279,3
471,16266,3
16266,16266,2
11097,16312,1
10024,10024,2
16251,13727,4
13213,16126,1
848,381,1
2723,4719,1
4719,4719,1
9420,16380,1
2576,16380,1
2723,108,1
11097,15408,1
15408,15408,1
15361,15361,12
15197,5041,1
5041,5041,13
10345,10345,4
8113,8113,2
16443,16024,3
16511,16024,1
16560,12867,1
15656,836,1
1426,836,7
41000,836,1
47832,836,1
11044,924,3
5143,924,1
12377,12377,1
16612,16612,2
16646,16646,1
8560,16646,1
11097,16646,1
8113,16640,1
16640,16640,1
381,16096,1
11097,16661,1
16661,16661,1
16558,16661,1
16683,16683,1
16693,16693,1
14310,676,1
676,676,11
381,16680,1
16680,16680,3
16712,16712,6
15361,16712,1
16558,13891,1
13891,13891,7
12575,12798,1
6478,15613,2
15613,15613,5
21,16749,1
16749,16749,1
15527,16764,1
836,381,7
8560,16808,3
16808,16808,1
0,16808,1
16853,16808,1
381,16817,1
16854,381,1
8820,381,3
9314,381,1
13727,12206,1
21,11044,2
108,16913,1
16969,16969,1
11097,16166,1
3439,3439,1
836,16870,1
16928,16928,5
381,16992,1
16992,16992,1
9774,21,1
836,17006,1
13686,13686,9
16928,12575,2
17034,11121,1
14779,14779,8
12527,17022,2
17022,17022,1
14393,14393,1
5091,11007,2
11007,11007,3
5091,924,1
11097,12527,1
17149,14904,1
13232,12501,1
430,12501,1
13417,10135,1
10135,10135,3
8501,10275,1
69786,10275,1
16024,14313,1
14313,14313,6
7848,5143,1
5143,17208,3
17208,17208,17
16284,16284,3
17248,17248,2
13686,17246,1
21,2504,1
7848,3044,1
3314,3314,10
9123,16538,1
6478,17302,1
10135,17308,1
6478,17309,2
17309,17309,1
10135,13417,2
16024,843,1
964,17305,1
17305,17305,5
17355,17305,1
10301,17305,1
847,17385,1
13413,17385,1
24763,17385,1
16024,17313,1
17313,17313,2
836,17313,1
17415,17415,1
10135,17415,1
17423,17423,1
17444,17444,1
13046,2573,1
17486,17486,1
20682,17486,1
8005,17486,1
15568,16284,1
17520,17520,1
924,8650,3
16050,15501,2
15501,15501,2
1156,16735,1
847,16829,2
16829,16829,2
471,16829,1
17596,21,1
9774,9774,2
17619,17619,2
71373,17619,1
0,8240,1
8240,8240,2
17692,17663,1
17724,17663,1
17397,17601,1
35644,843,1
53790,843,1
17702,17702,1
836,11141,1
15527,11141,1
11097,15361,1
17784,17784,2
21024,17784,1
16704,17699,1
17806,16284,1
12515,12515,37
15693,17806,1
17806,17806,1
11097,17841,1
17841,17841,1
836,17877,2
17877,17877,1
17888,17888,1
381,17888,1
676,17886,1
16928,14070,1
16591,5043,1
924,3570,2
3570,3570,1
676,17939,1
9314,17947,1
11097,16928,1
18001,15942,1
15942,15942,1
18000,836,2
18001,18001,2
381,18014,1
18014,18014,1
471,11141,1
471,6478,2
17696,17696,24
79045,17696,1
18019,18019,1
18058,18058,1
381,5043,2
381,10464,1
10464,9314,1
9314,9314,3
17484,17484,3
924,9197,1
24024,9197,1
18019,18111,1
13417,13417,4
18120,18120,1
11097,13417,2
18184,18184,1
381,18184,1
18098,18098,5
18195,18195,2
17116,17116,11
18221,18221,1
18239,6478,1
6478,6478,7
16676,5091,1
6550,676,1
17971,17971,1
836,6478,1
381,6478,1
45938,6478,1
14913,18295,1
18295,18295,2
18321,18321,1
3510,13417,1
8501,13417,1
18077,18077,2
17290,17290,12
14411,8820,1
13291,14913,2
54617,18098,1
434,18417,1
8816,12515,1
6478,18429,1
12866,3486,1
3486,3486,1
15527,15527,20
12866,12866,2
6514,6514,3
13736,14904,1
14904,14904,83
76453,14904,1
18452,18452,1
8465,17696,1
836,18416,2
14125,18416,1
40226,18416,1
836,14691,1
14588,14691,1
15527,16541,1
843,381,1
18150,18529,1
471,18557,1
18557,18557,1
14588,18557,1
18369,14904,2
676,14904,1
8113,13417,1
18609,836,2
18619,16024,1
17646,17646,3
18680,18680,1
14913,18682,1
24550,18682,1
8752,18721,1
18139,18139,2
18696,5200,4
5200,5200,3
18696,18722,1
381,10345,1
18778,18778,2
836,18778,1
11141,18778,1
18221,8820,2
18778,836,1
21,18840,1
18841,8820,1
13736,676,1
676,13527,1
14789,14789,3
5290,5290,1
6478,18818,1
6478,18744,1
18744,75,1
16855,16855,1
917,17959,1
18843,17959,1
18992,18992,1
18612,18612,1
381,18612,1
8820,917,2
917,917,1
9178,14946,1
14904,19003,3
19003,19003,2
18969,2723,1
16284,14826,1
18893,18893,1
710,10345,1
6478,19132,1
16853,3151,1
28384,10512,1
1114,12866,1
19161,18843,1
18722,471,1
0,19113,1
14904,18787,1
18787,18787,4
924,19278,1
19278,19278,1
19067,19067,5
13100,381,13
20288,14904,1
12241,16220,1
20293,14904,1
18713,19161,1
8517,8517,8
43374,8517,1
20321,20321,1
14578,14578,1
11148,14578,1
23294,14578,1
23487,14578,1
29494,14578,1
18999,14578,1
32742,14578,1
77322,14578,2
9814,19067,1
